Customer_ID,First_Name,Last_Name,Email,Gender,City,Country,Join_date
1,Siya,Davis,siya.davis@gmail.com,Female,Nagpur,India,9/24/2024
2,Benjamin,Patel,benjamin.patel@company.com,Male,Paris, France,9/28/2022
3,Leo,Williams,leo.williams@company.com,Other,Thane,India,4/21/2022
4,Amelia,Harris,amelia.harris@gmail.com,Female,Visakhapatnam,India,8/21/2023
5,Emma,Thomas,emma.thomas@hotmail.com,Male,Thane,India,10/17/2023
6,Mason,Patel,mason.patel@gmail.com,Male,Jaipur,India,8/18/2023
7,Vivaan,Sharma,vivaan.sharma@outlook.com,Female,Berlin, Germany,3/10/2022
8,Jack,Khan,jack.khan@hotmail.com,Female,Berlin, Germany,8/22/2023
9,Charlotte,Williams,charlotte.williams@hotmail.com,Female,Singapore, Singapore,7/21/2022
10,Aisha,White,aisha.white@gmail.com,Male,Dubai, UAE,2/21/2024
11,Riya,Miller,riya.miller@gmail.com,Male,Ghaziabad,India,10/16/2024
12,Grace,Williams,grace.williams@outlook.com,Male,Visakhapatnam,India,1/8/2022
13,Leo,Jackson,leo.jackson@outlook.com,Female,Singapore, Singapore,10/20/2023
14,Riya,Brown,riya.brown@gmail.com,Female,Visakhapatnam,India,10/18/2023
15,Daniel,Das,daniel.das@company.com,Female,Hyderabad,India,8/20/2022
16,Riya,Miller,riya.miller@gmail.com,Female,Sydney, Australia,3/2/2023
17,Vivaan,Wilson,vivaan.wilson@yahoo.com,Male,Kolkata,India,5/7/2023
18,Zara,White,zara.white@yahoo.com,Female,Ahmedabad,India,4/1/2022
19,Scarlett,Wilson,scarlett.wilson@gmail.com,Female,Paris, France,3/14/2023
20,Emma,Lewis,emma.lewis@hotmail.com,Male,Ludhiana,India,6/2/2022
21,Ella,Das,ella.das@company.com,Female,Paris, France,10/10/2023
22,Ella,Nair,ella.nair@gmail.com,Female,New York, USA,8/28/2022
23,Rudra,Iyer,rudra.iyer@company.com,Female,Ahmedabad,India,6/9/2023
24,Noah,Smith,noah.smith@company.com,Female,Patna,India,1/16/2024
25,Grace,Martinez,grace.martinez@gmail.com,Male,Berlin, Germany,8/6/2024
26,Benjamin,White,benjamin.white@company.com,Male,Hyderabad,India,12/26/2023
27,Arjun,Sharma,arjun.sharma@company.com,Female,Hyderabad,India,8/9/2024
28,Noah,Das,noah.das@yahoo.com,Female,Bengaluru,India,4/29/2022
29,Sara,Smith,sara.smith@gmail.com,Female,Surat,India,8/3/2022
30,Diya,Thomas,diya.thomas@yahoo.com,Male,Indore,India,12/22/2022
31,Diya,Johnson,diya.johnson@gmail.com,Other,Patna,India,11/4/2022
32,Aditya,Thompson,aditya.thompson@gmail.com,Female,Thane,India,9/5/2022
33,Kabir,Williams,kabir.williams@outlook.com,Female,Nagpur,India,7/18/2023
34,Chloe,Reddy,chloe.reddy@gmail.com,Female,Surat,India,10/8/2023
35,Arjun,Moore,arjun.moore@company.com,Male,Visakhapatnam,India,5/30/2024
36,Myra,Smith,myra.smith@hotmail.com,Female,Tokyo, Japan,3/9/2022
37,Ira,Taylor,ira.taylor@company.com,Male,Mumbai,India,8/27/2024
38,Ishaan,Moore,ishaan.moore@yahoo.com,Female,Toronto, Canada,1/4/2022
39,William,Martinez,william.martinez@gmail.com,Female,Chennai,India,5/8/2024
40,Aarav,Verma,aarav.verma@yahoo.com,Female,Ahmedabad,India,6/28/2023
41,Ananya,Williams,ananya.williams@yahoo.com,Male,Delhi,India,9/25/2023
42,William,Patel,william.patel@gmail.com,Male,Vadodara,India,2/19/2023
43,Sara,Martin,sara.martin@gmail.com,Female,Chennai,India,9/18/2022
44,Aadhya,Anderson,aadhya.anderson@gmail.com,Male,Delhi,India,5/28/2024
45,Elijah,Davis,elijah.davis@gmail.com,Female,Vadodara,India,1/22/2022
46,Sofia,Nair,sofia.nair@gmail.com,Female,Mumbai,India,9/21/2023
47,Evelyn,Reddy,evelyn.reddy@gmail.com,Female,Ghaziabad,India,8/22/2023
48,Sofia,Wilson,sofia.wilson@outlook.com,Male,Bhopal,India,7/6/2024
49,Grace,Singh,grace.singh@yahoo.com,Male,Patna,India,2/10/2023
50,Aisha,Thomas,aisha.thomas@outlook.com,Female,Chennai,India,4/9/2024
51,Henry,Taylor,henry.taylor@company.com,Female,Ghaziabad,India,1/16/2023
52,Ella,Reddy,ella.reddy@yahoo.com,Male,Berlin, Germany,2/26/2024
53,Liam,Nair,liam.nair@outlook.com,Male,London, UK,8/4/2022
54,Grace,Thomas,grace.thomas@company.com,Female,Vadodara,India,5/13/2022
55,Grace,Davis,grace.davis@company.com,Male,Indore,India,2/6/2024
56,Sophia,Garcia,sophia.garcia@company.com,Female,Ghaziabad,India,9/18/2024
57,Jack,Iyer,jack.iyer@company.com,Male,Surat,India,12/23/2023
58,Vivaan,Garcia,vivaan.garcia@outlook.com,Other,London, UK,12/16/2023
59,Benjamin,Das,benjamin.das@hotmail.com,Female,Lucknow,India,7/9/2023
60,Grace,Jackson,grace.jackson@yahoo.com,Female,Bhopal,India,3/13/2022
61,Aarav,Lewis,aarav.lewis@gmail.com,Female,Hyderabad,India,4/29/2023
62,Benjamin,Singh,benjamin.singh@hotmail.com,Male,Surat,India,10/10/2023
63,Vivaan,Thompson,vivaan.thompson@gmail.com,Male,Chennai,India,1/2/2022
64,Mason,Miller,mason.miller@yahoo.com,Female,Jaipur,India,1/3/2024
65,Diya,Smith,diya.smith@gmail.com,Male,Pune,India,7/21/2024
66,Emma,Johnson,emma.johnson@company.com,Male,Visakhapatnam,India,3/24/2024
67,Emily,Martin,emily.martin@company.com,Female,Visakhapatnam,India,12/10/2022
68,Chloe,Gupta,chloe.gupta@outlook.com,Male,Singapore, Singapore,6/18/2024
69,Noah,Moore,noah.moore@gmail.com,Male,Lucknow,India,1/1/2022
70,Mason,Reddy,mason.reddy@gmail.com,Male,Visakhapatnam,India,12/11/2022
71,Jack,Jackson,jack.jackson@yahoo.com,Female,Sydney, Australia,5/12/2023
72,Oliver,Martin,oliver.martin@company.com,Female,Ghaziabad,India,3/7/2023
73,Harper,Iyer,harper.iyer@yahoo.com,Female,New York, USA,2/10/2024
74,Riya,Singh,riya.singh@outlook.com,Male,Hyderabad,India,12/3/2023
75,Rudra,Miller,rudra.miller@outlook.com,Female,Visakhapatnam,India,6/15/2024
76,Ishaan,Martinez,ishaan.martinez@outlook.com,Male,Berlin, Germany,6/13/2022
77,Riya,Gupta,riya.gupta@hotmail.com,Female,Jaipur,India,6/11/2024
78,Myra,Sharma,myra.sharma@gmail.com,Female,Berlin, Germany,2/10/2023
79,Ava,Moore,ava.moore@company.com,Male,Singapore, Singapore,5/8/2022
80,Ananya,Jones,ananya.jones@outlook.com,Male,Mumbai,India,7/27/2023
81,Leo,Patel,leo.patel@gmail.com,Female,Hyderabad,India,2/12/2023
82,Evelyn,Das,evelyn.das@gmail.com,Female,Bhopal,India,11/9/2022
83,Leo,Garcia,leo.garcia@outlook.com,Male,Mumbai,India,2/16/2024
84,Siya,Thompson,siya.thompson@hotmail.com,Female,Visakhapatnam,India,1/6/2023
85,Myra,Williams,myra.williams@yahoo.com,Female,Jaipur,India,11/2/2023
86,Emily,Thompson,emily.thompson@outlook.com,Female,Mumbai,India,8/4/2022
87,Ishaan,Smith,ishaan.smith@gmail.com,Male,Bhopal,India,9/27/2023
88,Ananya,Iyer,ananya.iyer@yahoo.com,Female,Kolkata,India,9/3/2024
89,Charlotte,Miller,charlotte.miller@gmail.com,Other,Toronto, Canada,2/21/2022
90,Ishaan,Iyer,ishaan.iyer@yahoo.com,Male,Sydney, Australia,8/29/2024
91,Diya,Johnson,diya.johnson@hotmail.com,Female,New York, USA,6/29/2024
92,Sofia,Jackson,sofia.jackson@company.com,Female,Indore,India,2/6/2024
93,Benjamin,Harris,benjamin.harris@outlook.com,Female,Ludhiana,India,4/1/2022
94,Charlotte,Singh,charlotte.singh@yahoo.com,Male,Patna,India,11/13/2023
95,Daniel,Harris,daniel.harris@gmail.com,Female,Vadodara,India,12/16/2023
96,Scarlett,Verma,scarlett.verma@hotmail.com,Other,Berlin, Germany,9/5/2023
